class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
e,0.928476690885,0.371390676354,147.410990092,0.785398163397,92.7846970141,0.506549048631,0.862211146606,306.01193058,0.321750554397,1.89254688119,1.84262855838,2.0,593.0
e,1.0,0.0,87.6926450736,0.0,51.8844870843,0.886584846165,0.462566006695,151.433280943,0.785398163397,3.92699081699,3.08425137534,0.0,719.0
e,1.0,0.0,112.800709218,0.785398163397,72.422372234,0.814665388333,0.57993129339,255.081232573,-0.785398163397,0.785398163397,0.616850275068,1.0,594.0
e,1.0,0.0,114.808536268,0.785398163397,77.3886296558,0.904525642996,0.426419231698,254.058647728,0.0,6.28318530718,4.93480220054,1.0,687.0
e,0.832050294338,-0.554700196225,97.8365984691,0.0,74.4311762637,0.994207047566,-0.10748184298,213.373418001,-3.14159265359,7.85398163397,6.16850275068,1.0,829.0
e,0.894427191,0.4472135955,164.05486887,0.0,131.034346642,0.892895664366,-0.45026362562,361.635910944,-2.35619449019,2.35619449019,1.8505508252,5.0,719.0
f,0.0,-1.0,215.594526832,0.785398163397,49.8196748283,0.180651520328,0.983547166232,479.897394316,-22.7765467385,22.7765467385,17.888657977,2.0,969.0
f,-0.707106781187,-0.707106781187,190.517715712,1.10714871779,66.0681466366,-0.0454076609186,0.99896854021,395.491784775,-16.1716108769,19.9567046393,16.0301848849,3.0,687.0
f,-0.640184399664,-0.768221279597,140.801278403,0.785398163397,31.6227766017,0.316227766017,0.948683298051,297.334022707,-13.3517687778,18.7076588669,15.4054123431,2.0,750.0
f,-0.554700196225,-0.832050294338,169.026625122,0.785398163397,56.7274184147,-0.65224191465,0.758010873783,326.127737437,-14.9225651046,18.0641577581,14.1875563266,2.0,719.0
f,-0.274721127897,-0.961523947641,158.29403021,0.785398163397,47.5184174821,0.147311303089,0.989090177882,340.161672215,-14.4589174956,14.4589174956,11.7122329595,4.0,735.0
f,-0.371390676354,-0.928476690885,185.809041761,0.785398163397,85.4751425854,-0.105293769952,0.994441160657,362.944546565,-17.2787595947,18.8495559215,14.8044066016,2.0,797.0
f,0.4472135955,-0.894427191,164.20109622,1.10714871779,65.06919394,-0.0461047666084,0.998936609849,332.235455351,-17.7424072037,19.9567046393,16.0301848849,2.0,812.0
f,-0.624695047554,-0.780868809443,134.033577883,0.785398163397,57.008771255,-0.263117405792,0.964763821238,250.204856025,-14.1371669412,15.7079632679,12.3370055014,2.0,890.0
f,-0.164398987305,-0.986393923832,157.848028179,1.10714871779,34.9284983931,0.229039333726,0.973417168334,320.47495395,-13.9952698865,15.5660662133,12.9380112428,9.0,688.0
f,-0.707106781187,-0.707106781187,198.403628999,1.2490457724,113.017697729,-0.0176963434947,0.999843407453,328.623277817,-8.96113035177,13.6735193322,11.0953826844,10.0,579.0
f,-0.808736084303,-0.588171697675,174.837067008,0.785398163397,78.2368199763,-0.57517675199,0.818029158386,312.719990821,-13.6735193322,13.6735193322,11.0953826844,4.0,719.0
f,-0.996545758245,-0.0830454798537,186.010752377,1.2490457724,112.361025271,0.0800989487082,0.996786917258,316.39089201,-13.6735193322,13.6735193322,11.0953826844,7.0,594.0
f,-0.554700196225,-0.832050294338,163.477827243,1.10714871779,84.403791384,-0.236956180191,0.971520338783,276.03687545,-10.853677233,16.4933614313,13.8891985761,3.0,656.0
f,0.0,-1.0,174.553716661,1.10714871779,61.1310068623,0.0654332425607,0.99785694905,341.800395667,-17.2787595947,20.4203522483,16.0381071518,2.0,891.0
f,-0.780868809443,-0.624695047554,219.045657341,0.785398163397,93.7709976485,-0.12797133763,0.991777866634,442.895918546,-19.6349540849,21.2057504117,16.6549574268,3.0,813.0
